,title,rating,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,est_price,roast_level,roaster,roaster_location,dollars_per_ounce
3024,Rwanda Cafe Femenino,93,9.0,9,8,9,"['juicy', 'sweetly', 'tart', 'balanced', 'ripe', 'grapefruit', 'flowers', 'apricot', 'crisply', 'cocoaish', 'chocolate', 'in', 'aroma', 'and', 'with', 'particular', 'intensity', 'and', 'complexity', 'in', 'the', 'cup', 'bright', 'citrusy', 'acidity;', 'round', 'silky', 'mouthfeel', 'flavor-saturated', 'cocoa-toned', 'finish']",Rwanda,12.99/16 ounces,Medium,Flamenco Organic Coffee,"Minneapolis, Minnesota",0.811875
3025,Maui Mokka Peaberry,95,9.0,9,9,9,"['striking', 'original', 'profile', 'rich', 'rose-like', 'flowers', 'blackberry', 'candied', 'citrus', 'dark', 'chocolate', 'in', 'aroma', 'and', 'cup', 'soft', 'finely', 'balanced', 'acidity;', 'very', 'smooth', 'silky', 'mouthfeel', 'flavor', 'saturates', 'a', 'crisply', 'sweet', 'resonant', 'finish', '']","Kaanapali district, near Lahaina, West Maui, Hawaii",24.00/8 ounces,Medium-Dark,Rusty's Hawaiian Coffee,"Pahala, Hawaii",3.0
3026,La Minita Peaberry,92,7.0,9,9,9,"['very', 'sweet', 'deep-toned', 'assertively', 'bright', 'caramelly', 'chocolate', 'richly', 'carnal', 'apricot', 'zesty', 'lemon', 'in', 'aroma', 'and', 'cup', 'richly', 'tart', 'acidity;', 'smooth', 'lightly', 'syrupy', 'mouthfeel', 'chocolate', 'in', 'particular', 'carries', 'into', 'a', 'sweet', 'but', 'drying', 'finish']","Tarrazu growing region, Costa Rica.",19.99/16 ounces,Medium,Caribou Coffee,"Minneapolis, Minnesota",1.249375
3027,Ulos Batak Sumatra,94,8.0,9,8,9,"['sweetly', 'pungent', 'exotic', 'complex', 'distinct', 'grapefruit', 'and', 'guava-like', 'notes', 'freshly', 'decomposed', 'leaves', 'a', 'softening', 'hint', 'of', 'cocoa', 'in', 'aroma', 'and', 'cup', 'gently', 'rich', 'juicy', 'acidity', 'light', 'but', 'silky', 'mouthfeel', 'flavor', 'persists', 'far', 'into', 'a', 'resonant', 'crisply', 'drying', 'finish', '']","Northern Sumatra, Indonesia",14.99/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",1.2491666666666668
3028,Ethiopian Kochere Teklu Dembel,90,8.0,8,8,8,"['delicate', 'and', 'meadowy', 'sweet', 'honey', 'and', 'molasses', 'flowering', 'grasses', 'lemon', 'in', 'aroma', 'and', 'cup', 'deepens', 'and', 'develops', 'a', 'chocolaty', 'hint', 'in', 'the', 'cup', 'brisk', 'floral-toned', 'acidity;', 'light', 'but', 'silky', 'mouthfeel', 'despite', 'the', 'delicacy', 'of', 'the', 'cup', 'rich-finishing', 'with', 'a', 'continuing', 'hint', 'of', 'chocolate']","Kochere District, southern Ethiopia.",19.99/16 ounces,Medium,The WestBean Coffee Roasters,"San Diego, California",1.249375
3029,Tanzania Peaberry Kilimanjaro,90,7.0,9,8,8,"['delicately', 'intense', 'rose-like', 'flowers', 'cardamom', 'honey', 'a', 'savory', 'carob-like', 'chocolate', 'in', 'aroma', 'and', 'cup', 'soft', 'but', 'drying', 'acidity;', 'lively', 'lightly', 'creamy-textured', 'mouthfeel', 'some', 'flavor', 'persists', 'in', 'a', 'sweet', 'though', 'drying', 'finish', '']","Kilimanjaro growing region, Tanzania",13.50/12 ounces,Medium,Klatch Coffee,"San Dimas, California",1.125
3030,Ethiopia Yirgacheffe Kochere Grade 1,92,8.0,9,8,9,"['very', 'sweet', 'delicate', 'rose-like', 'flowers', 'milk', 'chocolate', 'orangy', 'citrus', 'spice', 'savory', 'date', 'in', 'aroma', 'and', 'cup', 'soft', 'gently', 'backgrounded', 'acidity;', 'light', 'but', 'syrupy-textured', 'mouthfeel', 'sweet', 'deeply', 'flavor-saturated', '(date', 'rose)', 'short', 'finish', 'fades', 'slightly', 'in', 'the', 'long']","Kochere District, southern Ethiopia.",11.00/8 ounces,Medium-Light,Victrola Coffee Roasters,"Seattle, Washington",1.375
3031,Bufcafe Rwanda Espresso,93,8.0,9,8,9,"['rich', 'round', 'and', 'deep', 'baker’s', 'chocolate', 'honey', 'and', 'an', 'apricot-like', 'fruit', 'in', 'aroma', 'and', 'small', 'cup', 'full', 'syrupy', 'mouthfeel', 'the', 'finish', 'is', 'drying', 'but', 'sweet', 'with', 'a', 'persistent', 'chocolate', 'three', 'parts', 'milk', 'nicely', 'plumps', 'up', 'the', 'chocolate', 'and', 'encourages', 'a', 'floral', 'nuance', 'in', 'the', 'honey', 'note']",Rwanda,12.99/12 ounces,Medium,JBC Coffee Roasters,"Madison, Wisconsin",1.0825
3032,Kenya Kamwangi Peaberry,90,8.0,8,8,8,"['deep', 'and', 'savory-sweet', 'molasses-leaning', 'dark', 'chocolate', 'fig', 'cedar', 'rose-like', 'flowers', 'in', 'aroma', 'and', 'cup', 'gently', 'tart', 'acidity;', 'silky', 'mouthfeel', 'rich', 'round', 'slightly', 'drying', 'finish', '', '', '']","Kamwangi growing district, central Kenya.",14.50/12 ounces,Medium,Lexington Coffee Roasters,"Lexington, Virginia",1.2083333333333333
3033,Guatemala Huixoc,90,8.0,8,8,9,"['flowers', 'honey', 'tangerine', 'fir', 'in', 'aroma', 'and', 'cup', 'brisk', 'zesty', 'acidity;', 'light', 'but', 'very', 'silky', 'mouthfeel', 'flavor', 'consolidates', 'toward', 'chocolate', 'in', 'a', 'sweet', 'gently', 'drying', 'finish', '', '']","Huehuetenango growing region, northwestern Guatemala.",11.25/12 ounces,Light,Lexington Coffee Roasters,"Lexington, Virginia",0.9375
