,0
1405,pineapple
1406,almond
1407,nougat
1408,redwood
1409,narcissus
1410,marjoram
1411,aroma
1412,cup
1413,sweetly
1414,tart
1415,juicy
1416,high
1417,acidity
1418,vibrant
1419,syrupy
1420,mouthfeel
1421,finish
1422,centers
1423,around
1424,notes
1425,pineapple
1426,almond
1427,elegantly
1428,fruit
1429,cocoa
1430,strawberry
1431,guava
1432,cocoa
1433,nib
1434,cane
1435,sugar
1436,tea
1437,rose
1438,cedar
1439,aroma
1440,cup
1441,delicately
1442,sweet
1443,structure
1444,gently
1445,bright
1446,acidity
1447,crisp
1448,syrupy
1449,mouthfeel
1450,resonant
1451,finish
1452,centers
1453,around
1454,notes
1455,cocoa
1456,nib
1457,tea
1458,rose
1459,deeply
1460,sweet
1461,savory
1462,black
1463,tea
1464,dark
1465,chocolate
1466,golden
1467,raisin
1468,sandalwood
1469,tiger
1470,lily
1471,aroma
1472,cup
1473,roundly
1474,sweet
1475,crisp
1476,acidity
1477,silky
1478,buoyant
1479,mouthfeel
1480,sandalwood
1481,black
1482,tea
1483,lead
1484,finish
1485,balanced
1486,vibrant
1487,juicy
1488,black
1489,currant
1490,narcissus
1491,toffee
1492,cedar
1493,pink
1494,grapefruit
1495,zest
1496,aroma
1497,cup
1498,sweet
1499,structure
1500,vivacious
1501,sparkling
1502,acidity
1503,crisp
1504,velvety
1505,mouthfeel
1506,finish
1507,consolidates
1508,toffee
1509,cedar
1510,crisply
1511,cocoa
1512,berry
1513,raspberry
1514,cocoa
1515,nib
1516,brown
1517,sugar
1518,hazelnut
1519,fir
1520,aroma
1521,cup
1522,sweet
1523,tart
1524,structure
1525,brisk
1526,acidity
1527,full
1528,syrupy
1529,mouthfeel
1530,gently
1531,drying
1532,finish
1533,consolidates
1534,notes
1535,brown
1536,sugar
1537,fir
1538,brightly
1539,sweet
1540,richly
1541,resonant
1542,red
1543,grape
1544,cashew
1545,butter
1546,agave
1547,syrup
1548,fresh
1549,cut
1550,oak
1551,honeysuckle
1552,aroma
1553,cup
1554,sweet
1555,structure
1556,juicy
1557,acidity
1558,lightly
1559,satiny
1560,mouthfeel
1561,finish
1562,centers
1563,around
1564,suggestions
1565,cashew
1566,grape
1567,delicately
1568,fruity
1569,crisply
1570,high
1571,wild
1572,strawberry
1573,cocoa
1574,nib
1575,lychee
1576,bergamot
1577,sandalwood
1578,aroma
1579,cup
1580,sweet
1581,structure
1582,gently
1583,bright
1584,acidity
1585,satiny
1586,viscous
1587,mouthfeel
1588,crisp
1589,cocoa
1590,driven
1591,finish
1592,supported
1593,hints
1594,strawberry
1595,delicately
1596,sweet
1597,tart
1598,balanced
1599,guava
1600,macadamia
1601,nut
1602,lemon
1603,verbena
1604,cocoa
1605,nib
1606,oak
1607,forest
1608,notes
1609,aroma
1610,cup
1611,sweetly
1612,tart
1613,structure
1614,high
1615,balanced
1616,acidity
1617,crisp
1618,silky
1619,mouthfeel
1620,finish
1621,consolidates
1622,notes
1623,cocoa
1624,guava
1625,sweet
1626,herb
1627,undertones
1628,tropically
1629,fruity
1630,richly
1631,chocolaty
1632,dried
1633,blueberry
1634,lychee
1635,chocolate
1636,fudge
1637,cedar
1638,wisteria
1639,aroma
1640,cup
1641,brightly
1642,sweet
1643,tart
1644,structure
1645,winy
1646,acidity
1647,plush
1648,viscous
1649,mouthfeel
1650,long
1651,resonant
1652,flavor
1653,saturated
1654,finish
1655,high
1656,sweetly
1657,tart
1658,black
1659,cherry
1660,dark
1661,chocolate
1662,pink
1663,peppercorn
1664,pineapple
1665,saltwater
1666,taffy
1667,redwood
1668,aroma
1669,cup
1670,crisply
1671,tart
1672,structure
1673,brisk
1674,acidity
1675,plush
1676,syrupy
1677,mouthfeel
1678,fruity
1679,chocolaty
1680,finish
1681,undertones
1682,pink
1683,peppercorn
1684,richly
1685,chocolaty
1686,balanced
1687,deep
1688,dark
1689,chocolate
1690,persimmon
1691,roasted
1692,almond
1693,butter
1694,magnolia
1695,oak
1696,forest
1697,aroma
1698,cup
1699,sweet
1700,structure
1701,vibrant
1702,apple
1703,malic
1704,acidity
1705,plush
1706,viscous
1707,mouthfeel
1708,integrated
1709,flavor
1710,saturated
1711,long
1712,finish
1713,floral
1714,richly
1715,fruity
1716,narcissus
1717,watermelon
1718,candy
1719,dark
1720,chocolate
1721,amber
1722,clove
1723,aroma
1724,cup
1725,sweet
1726,savory
1727,structure
1728,winey
1729,acidity
1730,full
1731,syrupy
1732,mouthfeel
1733,resonant
1734,long
1735,flavor
1736,laden
1737,finish
1738,elegantly
1739,floral
1740,richly
1741,sweet
1742,white
1743,peach
1744,lilac
1745,cocoa
1746,nib
1747,lemon
1748,thyme
1749,oak
1750,aroma
1751,cup
1752,sweet
1753,tart
1754,structure
1755,vivacious
1756,juicy
1757,acidity
1758,plush
1759,syrupy
1760,mouthfeel
1761,gently
1762,fruit
1763,driven
1764,finish
1765,notes
1766,lemon
1767,thyme
1768,oak
1769,crisply
1770,sweet
1771,tart
1772,cocoa
1773,watermelon
1774,candy
1775,cocoa
1776,nib
1777,pistachio
1778,brittle
1779,fresh
1780,cut
1781,fir
1782,brown
1783,sugar
1784,aroma
1785,cup
1786,tart
1787,leaning
1788,structure
1789,citric
1790,acidity
1791,full
1792,syrupy
1793,mouthfeel
1794,cocoa
1795,pistachio
1796,lead
1797,quiet
1798,wood
1799,framed
1800,finish
1801,sweetly
1802,tart
1803,delicately
1804,bright
1805,berry
1806,melange
1807,narcissus
1808,cocoa
1809,nib
1810,amber
1811,agave
1812,syrup
1813,aroma
1814,cup
1815,brightly
1816,tart
1817,brisk
1818,acidity
1819,creamy
1820,viscous
1821,mouthfeel
1822,long
1823,resonant
1824,finish
1825,flavor
1826,saturated
1827,balanced
1828,complex
1829,candy
1830,chocolaty
1831,jolly
1832,roger
1833,candy
1834,baking
1835,chocolate
1836,bay
1837,leaf
1838,crisped
1839,rice
1840,cedar
1841,aroma
1842,cup
1843,tart
1844,leaning
1845,structure
1846,brisk
1847,acidity
1848,full
1849,satiny
1850,mouthfeel
1851,crisply
1852,tart
1853,finish
1854,fruit
1855,aromatic
1856,wood
1857,impulses
1858,powerfully
1859,aromatic
1860,fruit
1861,centered
1862,passionfruit
1863,lychee
1864,ginger
1865,flower
1866,almond
1867,brittle
1868,kumquat
1869,aroma
1870,cup
1871,sweet
1872,tart
1873,structure
1874,apple
1875,malic
1876,acidity
1877,full
1878,syrupy
1879,mouthfeel
1880,exceptionally
1881,harmonious
1882,integrated
1883,finish
1884,far
1885,long
1886,sweetly
1887,tart
1888,juicy
1889,bright
1890,red
1891,grape
1892,sandalwood
1893,dark
1894,chocolate
1895,almond
1896,butter
1897,pink
1898,grapefruit
1899,zest
1900,aroma
1901,small
1902,cup
1903,sweet
1904,tart
1905,structure
1906,elegantly
1907,high
1908,acidity
1909,syrupy
1910,smooth
1911,mouthfeel
1912,crisply
1913,fruit
1914,finish
1915,richly
1916,chocolaty
1917,sweetly
1918,fermenty
1919,cherry
1920,cordial
1921,chocolate
1922,fudge
1923,almond
1924,brittle
1925,fine
1926,musk
1927,gardenia
1928,aroma
1929,cup
1930,brightly
1931,sweet
1932,structure
1933,juicy
1934,winey
1935,acidity
1936,full
1937,viscous
1938,mouthfeel
1939,crisply
1940,chocolaty
1941,fruity
1942,finish
1943,whisper
1944,alcohol
1945,ferment
1946,intensely
1947,aromatic
1948,richly
1949,sweet
1950,tart
1951,raspberry
1952,jam
1953,star
1954,jasmine
1955,tangerine
1956,zest
1957,oak
1958,forest
1959,amber
1960,aroma
1961,cup
1962,high
1963,sweet
1964,tart
1965,structure
1966,vibrant
1967,juicy
1968,acidity
1969,plush
1970,syrupy
1971,mouthfeel
1972,long
1973,resonant
1974,finish
1975,centers
1976,around
1977,notes
1978,raspberry
1979,star
1980,jasmine
1981,sweetly
1982,savory
1983,uniquely
1984,composed
1985,ripe
1986,tomato
1987,meyer
1988,lemon
1989,zest
1990,caramel
1991,baking
1992,chocolate
1993,redwood
1994,aroma
1995,cup
1996,savory
1997,sweet
1998,structure
1999,delicately
2000,bright
2001,acidity
2002,silky
2003,smooth
2004,mouthfeel
2005,caramel
2006,meyer
2007,lemon
2008,zest
2009,lead
2010,sweetly
2011,tart
2012,finish
2013,deeply
2014,chocolaty
2015,richly
2016,sweet
2017,dark
2018,chocolate
2019,cantaloupe
2020,pipe
2021,tobacco
2022,hazelnut
2023,cedar
2024,aroma
2025,cup
2026,sweet
2027,structure
